"customer_id";"phone";"type"
1;"2039181162";"work"
2;"2039181162";"personal"
3;"2039181162";"personal"
4;"2039842703";"work"
5;"2039181162";"work"
6;"2039181162";"work"
7;"2033816498";"work"
8;"2039181162";"work"
9;"2039181162";"personal"
10;"2039181162";"work"
11;"2039181162";"personal"
12;"2038342990";"work"
13;"2038325488";"personal"
14;"2034285591";"personal"
15;"2031234567";"work"
16;"2039181162";"personal"
17;"2039181162";"personal"
18;"2039181162";"personal"
19;"2039181162";"work"
20;"2039935438";"work"
21;"2039181162";"work"
22;"2036435374";"work"
23;"2039181162";"personal"
24;"2039181162";"work"
25;"2039181162";"work"
26;"2039181162";"work"
27;"2039181162";"personal"
28;"2039181162";"work"
29;"2039181162";"work"
30;"2039181162";"personal"
31;"2039181162";"work"
32;"2039341344";"work"
33;"2039181162";"personal"
34;"2032377622";"personal"
35;"2039181162";"personal"
36;"2035497071";"personal"
37;"2035555555";"work"
38;"2039181162";"personal"
39;"2039181162";"personal"
40;"2035918641";"work"
41;"2039181162";"personal"
42;"2038771341";"work"
43;"2037494300";"work"
44;"2033818348";"work"
45;"2032075921";"personal"
46;"2032491231";"work"
47;"2039181162";"personal"
48;"2039181162";"work"
49;"2032927139";"work"
50;"2039181162";"personal"
51;"2035952925";"personal"
52;"2039181162";"personal"
53;"2039181162";"personal"
54;"2039181162";"personal"
55;"2039181162";"personal"
56;"2032255470";"work"
57;"2039181162";"personal"
58;"2039181162";"work"
59;"2038778501";"personal"
60;"2034830884";"personal"
61;"2039181162";"personal"
62;"2039181162";"personal"
63;"2036348870";"personal"
64;"2031231231";"personal"
65;"2033332706";"work"
66;"2039181162";"personal"
67;"2034567890";"personal"
68;"2039181162";"work"
69;"2039181162";"personal"
70;"2039181162";"work"
71;"2031231234";"personal"
72;"2039181162";"work"
73;"2037524551";"work"
74;"2039181162";"personal"
75;"2035589417";"personal"
76;"2032672559";"work"
77;"2039181162";"personal"
78;"2039181162";"work"
79;"2032720433";"personal"
80;"2034285591";"personal"
81;"2039181162";"work"
82;"2039181162";"work"
83;"2039181162";"work"
84;"2036435374";"work"
85;"2037828279";"work"
86;"2039181162";"personal"
87;"2039181162";"work"
88;"2039181162";"personal"
89;"2039181162";"personal"
90;"2032557556";"work"
91;"2035918641";"personal"
92;"2039181162";"work"
93;"2033749322";"personal"
