"customer_id";"phone";"type"
1;2039181162;"personal"
2;2039181162;"work"
3;2039181162;"personal"
4;2039842703;"personal"
5;2039181162;"work"
6;2039181162;"work"
7;2033816498;"personal"
8;2039181162;"work"
9;2039181162;"personal"
10;2039181162;"personal"
11;2039181162;"work"
12;2038342990;"personal"
13;2038325488;"personal"
14;2034285591;"work"
15;2031234567;"work"
182;2039181162;"personal"
183;2032356046;"personal"
184;2036360585;"work"
185;2039181162;"personal"
186;2035799768;"work"
187;2039181162;"personal"
188;2039181162;"work"
189;2039181162;"work"
190;2039181162;"personal"
191;2039995499;"personal"
192;2039181162;"personal"
193;2039181162;"work"
194;2035496666;"personal"
195;2039666962;"work"
196;2039181162;"work"
197;2039181162;"work"
198;2039181162;"personal"
199;2039181162;"personal"
200;2032556911;"personal"
201;2036233584;"personal"
202;2032569231;"personal"
203;2039181162;"work"
204;2039181162;"work"
205;2036565856;"personal"
206;2039181162;"personal"
207;2032283344;"personal"
208;2039181162;"personal"
209;2034170304;"work"
210;2035697250;"personal"
211;2032927139;"personal"
212;2039181162;"work"
213;2039181162;"personal"
214;2032613577;"personal"
215;2039181162;"work"
216;2039181162;"personal"
217;2039181162;"personal"
218;2039181162;"personal"
219;2039181162;"work"
220;2038300058;"personal"
221;2039181162;"personal"
222;2039181162;"work"
223;2039376011;"work"
224;2039181162;"work"
225;2035890329;"personal"
226;2039181162;"work"
227;2033744949;"work"
228;2039181162;"personal"
229;2039181162;"personal"
230;2039181162;"personal"
231;2039181162;"work"
232;2039181162;"work"
233;2038257801;"work"
234;2039181162;"personal"
235;2039181162;"personal"
236;2039181162;"work"
237;2039181162;"personal"
238;2039181162;"work"
239;2034830884;"work"
240;2032436393;"personal"
241;2039181162;"work"
242;2039181162;"personal"
243;2039181162;"personal"
244;2037382238;"work"
245;2039237000;"work"
246;2039181162;"work"
247;2039181162;"personal"
248;2039181162;"personal"
249;2036863278;"personal"
250;2038257801;"work"
251;2036545854;"personal"
252;2039181162;"personal"
253;2039852456;"work"
254;2039181162;"work"
255;2036246962;"personal"
256;2031231231;"personal"
257;2039376011;"personal"
